target_name,transaction_id,"Announced Date
MM/dd/yyyy",transaction_type,transaction_status,transaction_value_usd_m,buyer_name,seller_name,gics_industry,pct_equity_acquired,"Implied Enterprise Value/ Total Revenue
(x)",target_ebitda_usd_m,"Total Transaction Value
($M).1",change_in_control,ev_ebitda_multiple,target_company_type,geography,buyer_company_type,"Company Type
(Seller)",sector_tag
Andeavor Logistics LP,SPTRD1572357,2019-05-08 00:00:00,M&A - Minority,Completed,2901.146252,MPLX LP (NYSE:MPLX),Andeavor Logistics LP (:ANDX),Oil and Gas Storage and Transportation,36.42,6.11425200294118,1287.0,2901.146252,No,7.49,,United States and Canada,MPLX LP (Public Company),,energy
Antero Midstream Partners LP,SPTRD1492510,2018-10-09 00:00:00,M&A - Whole,Completed,6016.759612,Antero Midstream Corporation (NYSE:AM),Antero Resources Corporation (NYSE:AR),Oil and Gas Storage and Transportation,100.0,7.67500420900765,777.863,6016.759612,Yes,12.38,,United States and Canada,Antero Midstream Corporation (Public Company),Antero Resources Corporation (Public Company),energy
"Archrock Partners, L.P.",SPTRD1134581,2018-01-02 00:00:00,M&A - Whole,Completed,2004.073963,"Archrock, Inc. (NYSE:AROC)","Archrock Partners, L.P. (:APLP)",Oil and Gas Equipment and Services,57.7,4.33695390518078,243.75,2004.073963,Yes,14.79,,United States and Canada,"Archrock, Inc. (Public Company)",,energy
"Atlas Energy, Inc.",SPTRD155235,2010-11-09 00:00:00,M&A - Whole,Completed,4279.597,Chevron Corporation (NYSE:CVX),Arkhan Corporation (:ATLS),Oil and Gas Exploration and Production,100.0,,478.253,4279.597,Yes,8.95,,United States and Canada,Chevron Corporation (Public Company),,energy
"Atlas Energy, L.P.",SPTRD197577,2014-10-13 00:00:00,M&A - Whole,Completed,8140.56075,Targa Resources Corp. (NYSE:TRGP),Targa Energy LP (:ATLS),Oil and Gas Storage and Transportation,100.0,2.40264112915435,150.213,8140.56075,Yes,16.2,,United States and Canada,Targa Resources Corp. (Public Company),,energy
"Boardwalk Pipeline Partners, LP",SPTRD1455615,2018-06-29 00:00:00,M&A - Minority,Completed,1504.010427,Loews Corporation (NYSE:L),"Boardwalk Pipeline Partners, LP (:BWP)",Oil and Gas Storage and Transportation,49.825111,5.2417344539117,792.0,1504.010427,No,3.92,,United States and Canada,Loews Corporation (Public Company),,energy
"Chesapeake Midstream Partners, L.P.",SPTRD164416,2012-06-08 00:00:00,M&A - Minority,Completed,2548.606,"Global Infrastructure Management, LLC",Expand Energy Corporation (NASDAQGS:EXE),Oil and Gas Storage and Transportation,46.18,,384.156,2548.606,Yes,14.37,,United States and Canada,,Expand Energy Corporation (Public Company),energy
CNX Midstream Partners LP,SPTRD1756986,2020-07-27 00:00:00,M&A - Minority,Completed,384.826243,CNX Resources Corporation (NYSE:CNX),CNX Midstream Partners LP (:CNXM),Oil and Gas Storage and Transportation,46.915038,5.11261210230983,235.667,384.826243,No,3.23,,United States and Canada,CNX Resources Corporation (Public Company),,energy
Crestwood Equity Partners LP,SPTRD2040127,2023-08-16 00:00:00,M&A - Whole,Completed,9370.996638,Energy Transfer LP (NYSE:ET),Crestwood Equity Partners LP (:CEQP),Oil and Gas Storage and Transportation,100.0,1.70011589316988,811.6,9370.996638,Yes,11.83,,United States and Canada,Energy Transfer LP (Public Company),,energy
"DCP Midstream, LP",SPTRD1978047,2022-08-17 00:00:00,M&A - Minority,Completed,9067.664934,Phillips 66 (NYSE:PSX),"DCP Midstream, LP (:DCP)",Oil and Gas Storage and Transportation,43.49,0.919721000723875,1823.0,9067.664934,Yes,12.29,,United States and Canada,Phillips 66 (Public Company),,energy
"Dominion Energy Midstream Partners, LP",SPTRD1484057,2018-09-19 00:00:00,M&A - Minority,Completed,1178.814614,"Dominion Energy, Inc. (NYSE:D)","Northeast Midstream Partners, LP (:DM)",Oil and Gas Storage and Transportation,39.061736,13.6373439845388,538.2,1178.814614,,5.93,,United States and Canada,"Dominion Energy, Inc. (Public Company)",,energy
Duncan Energy Partners L.P.,SPTRD158655,2011-04-29 00:00:00,M&A - Minority,Completed,1477.165,Enterprise Products Partners L.P. (NYSE:EPD),Duncan Energy Partners LP (:DEP),Oil and Gas Storage and Transportation,41.96,,294.0,1477.165,,12.18,,United States and Canada,Enterprise Products Partners L.P. (Public Company),,energy
