target_name,transaction_id,"Announced Date
MM/dd/yyyy",transaction_type,transaction_status,transaction_value_usd_m,buyer_name,seller_name,gics_industry,pct_equity_acquired,"Implied Enterprise Value/ Total Revenue
(x)",target_ebitda_usd_m,"Total Transaction Value
($M).1",change_in_control,ev_ebitda_multiple,target_company_type,geography,buyer_company_type,"Company Type
(Seller)",sector_tag
Air Lease Corporation,SPTRD2167074,2025-09-02 00:00:00,M&A - Whole,Completed,27613.254925,"Sumitomo Corporation (TSE:8053); Apollo Capital Management, L.P.; SMBC Aviation Capital Limited; Brookfield Asset Management Ltd. (TSX:BAM)",Air Lease Corporation (:AL),Trading Companies and Distributors,100,9.82066744180461,3483.785,27613.254925,Yes,8.55,,United States and Canada,"Sumitomo Corporation (Public Company)

Brookfield Asset Management Ltd. (Public Company)",,industrials
Aircastle Limited,SPTRD1644361,2019-11-06 00:00:00,M&A - Whole,Completed,6670.34984,"Marubeni Corporation (TSE:8002); Mizuho Leasing Company, Limited (TSE:8425)",Aircastle Limited (:AYR),Trading Companies and Distributors,100,6.92832795327748,795.698,6670.34984,Yes,7.97,,United States and Canada,"Marubeni Corporation (Public Company)

Mizuho Leasing Company, Limited (Public Company)",,industrials
Convergys Corporation,SPTRD1455173,2018-06-28 00:00:00,M&A - Whole,Completed,2353.672926,TD SYNNEX Corporation (NYSE:SNX),Convergys Corporation (:CVG),Data Processing and Outsourced Services,100,0.951869981743163,281.6,2353.672926,Yes,8.35,,United States and Canada,TD SYNNEX Corporation (Public Company),,industrials
"CoreLogic, Inc.",SPTRD1766266,2020-09-14 00:00:00,M&A - Whole,Terminated/Withdrawn,6003.066014,"Senator Investment Group LP; Cannae Holdings, Inc. (NYSE:CNNE)","CoreLogic, Inc. (:CLGX)",Research and Consulting Services,85,3.7588233126912,,6003.066014,Yes,14.27,,United States and Canada,"Cannae Holdings, Inc. (Public Company)",,industrials
"CoreLogic, Inc.",SPTRD1801925,2021-02-02 00:00:00,M&A - Whole,Terminated/Withdrawn,8595.043099,"CoStar Group, Inc. (NASDAQGS:CSGP)","CoreLogic, Inc. (:CLGX)",Research and Consulting Services,100,5.23330122475074,,8595.043099,Yes,15.21,,United States and Canada,"CoStar Group, Inc. (Public Company)",,industrials
Courier Corporation,SPTRD199619,2015-01-16 00:00:00,M&A - Whole,Terminated/Withdrawn,273.261993,"Quad/Graphics, Inc. (NYSE:QUAD)",Courier Corporation (:CRRC),Commercial Printing,100,0.984632100660476,,273.261993,Yes,8.18,,United States and Canada,"Quad/Graphics, Inc. (Public Company)",,industrials
Covanta Holding Corporation,SPTRD1893750,2021-07-14 00:00:00,M&A - Whole,Completed,5320.277771,EQT Partners AB; EQT AB (publ) (OM:EQT); EQT Infrastructure V,Covanta Holding Corporation (:CVA),Environmental and Facilities Services,100,2.69852858559919,379.0,5320.277771,Yes,16.0,,United States and Canada,EQT AB (publ) (Public Company),,industrials
"CSG Systems International, Inc.",SPTRD2177011,2025-10-29 00:00:00,M&A - Whole,Announced,2783.325042,NEC Corporation (TSE:6701),"CSG Systems International, Inc. (NASDAQGS:CSGS)",Data Processing and Outsourced Services,100,2.30336008163022,177.984,2783.325042,Yes,15.64,"CSG Systems International, Inc. (Public Company)",United States and Canada,NEC Corporation (Public Company),"CSG Systems International, Inc. (Public Company)",industrials
"DST Systems, Inc.",SPTRD1158808,2018-01-11 00:00:00,M&A - Whole,Completed,5216.569733,"SS&C Technologies Holdings, Inc. (NASDAQGS:SSNC)","SS&C GIDS, Inc. (:DST)",Data Processing and Outsourced Services,100,2.35171298034442,683.2,5216.569733,Yes,7.64,,United States and Canada,"SS&C Technologies Holdings, Inc. (Public Company)",,industrials
General Finance Corporation,SPTRD1874500,2021-04-15 00:00:00,M&A - Whole,Completed,603.275185,"United Rentals, Inc. (NYSE:URI)",General Finance Corporation (:GFN),Trading Companies and Distributors,100,,88.905,603.275185,Yes,8.74,,United States and Canada,"United Rentals, Inc. (Public Company)",,industrials
"Lender Processing Services, Inc.",SPTRD171225,2013-05-28 00:00:00,M&A - Whole,Completed,4245.619635,"Fidelity National Financial, Inc. (NYSE:FNF)","Black Knight InfoServ, LLC (:LPS)",Data Processing and Outsourced Services,100,,364.076,4245.619635,Yes,11.67,,United States and Canada,"Fidelity National Financial, Inc. (Public Company)",,industrials
McGrath RentCorp,SPTRD2064479,2024-01-29 00:00:00,M&A - Whole,Terminated/Withdrawn,3853.339969,WillScot Holdings Corporation (NASDAQCM:WSC),McGrath RentCorp (NASDAQGS:MGRC),Trading Companies and Distributors,100,4.63229792316329,,3853.339969,Yes,12.87,McGrath RentCorp (Public Company),United States and Canada,WillScot Holdings Corporation (Public Company),McGrath RentCorp (Public Company),industrials
"Mobile Mini, Inc.",SPTRD1711832,2020-03-02 00:00:00,M&A - Whole,Completed,1311.889743,WillScot Holdings Corporation (NASDAQCM:WSC),"Mobile Mini, Inc. (:MOM TT)",Diversified Support Services,100,3.10362119730667,213.026,1311.889743,Yes,8.49,,United States and Canada,WillScot Holdings Corporation (Public Company),,industrials
