target_name,transaction_id,"Announced Date
MM/dd/yyyy",transaction_type,transaction_status,transaction_value_usd_m,buyer_name,seller_name,gics_industry,pct_equity_acquired,"Implied Enterprise Value/ Total Revenue
(x)",target_ebitda_usd_m,"Total Transaction Value
($M).1",change_in_control,ev_ebitda_multiple,target_company_type,geography,buyer_company_type,"Company Type
(Seller)",sector_tag
Acacia Mining plc,SPTRD1577314,2019-05-21 00:00:00,M&A - Minority,Completed,448.729391,Barrick Mining Corporation (TSX:ABX),BARRICK TZ LIMITED (:ACA),Gold,36.051,1.19824965614073,193.086,448.729391,No,4.66,,Europe,Barrick Mining Corporation (Public Company),,materials
AK Steel Holding Corporation,SPTRD1657684,2019-12-03 00:00:00,M&A - Whole,Completed,3041.032946,Cleveland-Cliffs Inc. (NYSE:CLF),Cleveland-Cliffs Steel Holding Corporation (:AKS),Steel,100.0,0.546823444650118,440.2,3041.032946,Yes,6.73,,United States and Canada,Cleveland-Cliffs Inc. (Public Company),,materials
Alacer Gold Corp.,SPTRD1732695,2020-05-11 00:00:00,M&A - Whole,Completed,2525.23750832624,SSR Mining Inc. (TSX:SSRM),Alacer Gold Corp. (:ASR),Gold,100.0,4.22223852773782,278.696830104477,2525.23750832624,Yes,8.85,,United States and Canada,SSR Mining Inc. (Public Company),,materials
Alamos Gold Inc.,SPTRD201372,2015-04-13 00:00:00,M&A - Whole,Completed,398.709692701497,AuRico Gold Inc.,Alamos Gold Inc. (TSX:AGI),Gold,100.0,2.51355853887418,23.0373642386364,398.709692701497,Yes,15.6,Alamos Gold Inc. (Public Company),United States and Canada,,Alamos Gold Inc. (Public Company),materials
Allied Gold Corporation,SPTRD2191078,2026-01-26 00:00:00,M&A - Whole,Announced,4381.57632829449,Zijin Gold International Company Limited (SEHK:2259),Allied Gold Corporation (TSX:AAUC),Gold,100.0,4.00202932141964,231.588155060138,4381.57632829449,Yes,18.58,Allied Gold Corporation (Public Company),United States and Canada,Zijin Gold International Company Limited (Public Company),Allied Gold Corporation (Public Company),materials
Allied Gold Mining plc,SPTRD171959,2012-06-29 00:00:00,M&A - Whole,Completed,470.319,St Barbara Limited (ASX:SBM),Allied Gold Mining Limited (:ALD),Gold,100.0,,,470.319,Yes,19.93,,Asia-Pacific,St Barbara Limited (Public Company),,materials
Alphamin Resources Corp.,SPTRD2151862,2025-06-03 00:00:00,M&A - Whole,Completed,378.308849390993,Alpha Mining Ltd,Tremont Master Holdings,Diversified Metals and Mining,56.0,1.21700220315194,268.872,378.308849390993,Yes,2.47,Alphamin Resources Corp. (Public Company),Africa,,,materials
Anglo American plc,SPTRD2078560,2024-04-24 00:00:00,M&A - Whole,Terminated/Withdrawn,50693.2494878988,BHP Group Limited (ASX:BHP),Anglo American plc (LSE:AAL),Diversified Metals and Mining,100.0,1.61677741174609,,50693.2494878988,Yes,7.33,Anglo American plc (Public Company),Europe,BHP Group Limited (Public Company),Anglo American plc (Public Company),materials
"Apex Mining Co., Inc.",SPTRD1928919,2021-12-29 00:00:00,M&A - Whole,Announced,175.779376954628,Prime Strategic Holdings Inc,"Monte Oro Resources and Energy Inc.; Lakeland Village Holdings,Inc.; Devoncourt Estates Inc.",Gold,59.68,1.88876549209751,46.3807513737647,175.779376954628,Yes,6.59,"Apex Mining Co., Inc. (Public Company)",Asia-Pacific,,,materials
Arab Potash Company Plc,SPTRD1464025,2018-07-23 00:00:00,M&A - Minority,Completed,502.000000019779,"State Development & Investment Corp.,Ltd.",Nutrien Ltd. (TSX:NTR),Fertilizers and Agricultural Chemicals,28.0,2.44512613896677,281.590205173917,502.000000019779,No,6.82,Arab Potash Company (Public Company),Middle East,,Nutrien Ltd. (Public Company),materials
Arcadium Lithium plc,SPTRD2107944,2024-10-06 00:00:00,M&A - Whole,Completed,8153.674135,Rio Tinto Group (LSE:RIO),Rio Tinto Lithium (:ALTM),Specialty Chemicals,100.0,8.20219400924194,314.3,8153.674135,Yes,18.97,,Europe,Rio Tinto Group (Public Company),,materials
