target_name,transaction_id,"Announced Date
MM/dd/yyyy",transaction_type,transaction_status,transaction_value_usd_m,buyer_name,seller_name,gics_industry,pct_equity_acquired,"Implied Enterprise Value/ Total Revenue
(x)",target_ebitda_usd_m,"Total Transaction Value
($M).1",change_in_control,ev_ebitda_multiple,target_company_type,geography,buyer_company_type,"Company Type
(Seller)",sector_tag
Anywhere Real Estate Inc.,SPTRD2170125,2025-09-22 00:00:00,M&A - Whole,Completed,5230.883434,"Compass, Inc. (NYSE:COMP)",Anywhere Real Estate Inc. (:HOUS),Real Estate Services,100.0,0.831396522739063,217.0,5230.883434,Yes,20.9,,United States and Canada,"Compass, Inc. (Public Company)",,real estate
"Apple REIT Ten, Inc.",SPTRD211498,2016-04-14 00:00:00,M&A - Whole,Completed,2288.959256,"Apple Hospitality REIT, Inc. (NYSE:APLE)","Apple REIT Ten, Inc.",Hotel and Resort REITs,100.0,8.4355127967123,95.938,2288.959256,Yes,23.73,,United States and Canada,"Apple Hospitality REIT, Inc. (Public Company)",,real estate
Associated Estates Realty Corporation,SPTRD201576,2015-04-22 00:00:00,M&A - Whole,Completed,2502.906836,Brookfield Corporation (TSX:BN),Associated Estates Realty Corporation (:AEC),Multi-Family Residential REITs,100.0,13.0087942141552,159.395,2502.906836,Yes,13.08,,United States and Canada,Brookfield Corporation (Public Company),,real estate
"Aviv REIT, Inc.",SPTRD198002,2014-10-31 00:00:00,M&A - Whole,Completed,3544.089555,"Omega Healthcare Investors, Inc. (NYSE:OHI)","Aviv REIT, Inc. (NYSE:AVIV)",Health Care REITs,100.0,17.8400834242126,146.328,3544.089555,Yes,22.44,,United States and Canada,"Omega Healthcare Investors, Inc. (Public Company)",,real estate
"BioMed Realty Trust, Inc.",SPTRD206116,2015-10-08 00:00:00,M&A - Whole,Completed,8023.148132,Blackstone Inc. (NYSE:BX),"BioMed Realty Trust, Inc. (NYSE:BMR)",Office REITs,100.0,12.2331552670254,583.502,8023.148132,Yes,13.72,,United States and Canada,Blackstone Inc. (Public Company),,real estate
"BRE Properties, Inc.",SPTRD191550,2013-12-19 00:00:00,M&A - Whole,Completed,6637.481,"Essex Property Trust, Inc. (NYSE:ESS)","BRE Properties, Inc. (NYSE:BRE)",Multi-Family Residential REITs,100.0,,292.573,6637.481,Yes,22.26,"BRE Properties, Inc. (Public Company)",United States and Canada,"Essex Property Trust, Inc. (Public Company)","BRE Properties, Inc. (Public Company)",real estate
Canadian Real Estate Investment Trust,SPTRD1368757,2018-02-15 00:00:00,M&A - Whole,Completed,4306.83236557848,Choice Properties Real Estate Investment Trust (TSX:CHP.UN),Canadian Real Estate Investment Trust (:REF.UN),Diversified REITs,100.0,11.0655128631596,240.09770345875,4306.83236557848,Yes,18.54,,United States and Canada,Choice Properties Real Estate Investment Trust (Public Company),,real estate
"Care Capital Properties, Inc.",SPTRD222689,2017-05-07 00:00:00,M&A - Whole,Completed,3802.554022,"Sabra Health Care REIT, Inc. (NASDAQGS:SBRA)","Care Capital Properties, Inc. (NYSE:CCP)",Health Care REITs,100.0,11.8715228456186,409.094,3802.554022,Yes,12.55,"Care Capital Properties, Inc. (Public Company)",United States and Canada,"Sabra Health Care REIT, Inc. (Public Company)","Care Capital Properties, Inc. (Public Company)",real estate
Care REIT plc,SPTRD2135969,2025-03-11 00:00:00,M&A - Whole,Completed,838.297993179614,"CareTrust REIT, Inc. (NYSE:CTRE)",CareTrust UK Limited (:CRT),Health Care REITs,100.0,11.6737134215997,71.7094382091413,838.297993179614,Yes,10.35,,Europe,"CareTrust REIT, Inc. (Public Company)",,real estate
"Cedar Realty Trust, Inc.",SPTRD1945477,2022-03-02 00:00:00,M&A - Whole,Completed,286.82147,"Wheeler Real Estate Investment Trust, Inc. (NASDAQCM:WHLR)","Cedar Realty Trust, Inc. (:CDR)",Retail REITs,100.0,2.28145825166601,-87.728,286.82147,Yes,22.24,,United States and Canada,"Wheeler Real Estate Investment Trust, Inc. (Public Company)",,real estate
Chesapeake Lodging Trust,SPTRD1571289,2019-05-06 00:00:00,M&A - Whole,Completed,2779.129363,Park Hotels & Resorts Inc. (NYSE:PK),Chesapeake Lodging Trust (NYSE:CHSP),Hotel and Resort REITs,100.0,5.03556913920947,202.097,2779.129363,Yes,14.42,,United States and Canada,Park Hotels & Resorts Inc. (Public Company),,real estate
"CNL Healthcare Properties, Inc.",SPTRD2177256,2025-11-05 00:00:00,M&A - Whole,Completed,1705.797683,"Sonida Senior Living, Inc. (NYSE:SNDA)","CNL Healthcare Properties, Inc. (:CHTH)",Health Care REITs,100.0,4.51098075187732,86.07,1705.797683,Yes,20.17,,United States and Canada,"Sonida Senior Living, Inc. (Public Company)",,real estate
"Cole Credit Property Trust V, Inc.",SPTRD1763431,2020-08-31 00:00:00,M&A - Whole,Completed,707.374187,"CIM Real Estate Finance Trust, Inc. (OTCPK:CMRF)","Cole Credit Property Trust V, Inc.",Retail REITs,100.0,13.0283598373325,33.875,707.374187,Yes,20.08,"Cole Credit Property Trust V, Inc. (Public Company)",United States and Canada,"CIM Real Estate Finance Trust, Inc. (Public Company)","Cole Credit Property Trust V, Inc. (Public Company)",real estate
"Cole Office & Industrial REIT (CCIT II), Inc.",SPTRD1763427,2020-08-31 00:00:00,M&A - Whole,Terminated/Withdrawn,1133.084645,"CIM Real Estate Finance Trust, Inc. (OTCPK:CMRF)","Cole Office & Industrial REIT (CCIT II), Inc.",Diversified REITs,100.0,14.5203968142092,,1133.084645,Yes,21.14,,United States and Canada,"CIM Real Estate Finance Trust, Inc. (Public Company)",,real estate
"Cole Office & Industrial REIT (CCIT II), Inc.",SPTRD1775461,2020-11-02 00:00:00,M&A - Whole,Completed,1225.850242,Peakstone Realty Trust (NYSE:PKST),"Cole Office & Industrial REIT (CCIT II), Inc.",Diversified REITs,100.0,14.1140805959495,58.745,1225.850242,Yes,20.87,,United States and Canada,Peakstone Realty Trust (Public Company),,real estate
Colonial Properties Trust,SPTRD187244,2013-06-03 00:00:00,M&A - Whole,Completed,3967.49808,"Mid-America Apartment Communities, Inc. (NYSE:MAA)",Colonial Properties Trust (:CLP),Multi-Family Residential REITs,100.0,,192.334,3967.49808,Yes,20.23,Colonial Properties Trust (Public Company),United States and Canada,"Mid-America Apartment Communities, Inc. (Public Company)",Colonial Properties Trust (Public Company),real estate
Corporate Property Associates 15 Incorporated,SPTRD162299,2012-02-21 00:00:00,M&A - Whole,Completed,2948.18,W. P. Carey Inc. (NYSE:WPC),Corporate Property Associates 15 Inc.,Other Specialized REITs,100.0,,,2948.18,Yes,11.72,,United States and Canada,W. P. Carey Inc. (Public Company),,real estate
Corporate Property Associates 17 - Global Incorporated,SPTRD1450592,2018-06-18 00:00:00,M&A - Whole,Completed,5732.710717,W. P. Carey Inc. (NYSE:WPC),Corporate Property Associates 17 - Global Incorporated,Diversified REITs,100.0,13.6275931027458,277.958,5732.710717,Yes,17.96,,United States and Canada,W. P. Carey Inc. (Public Company),,real estate
Corporate Property Associates 18 - Global Incorporated,SPTRD1944758,2022-02-28 00:00:00,M&A - Whole,Completed,2947.48092,W. P. Carey Inc. (NYSE:WPC),Corporate Property Associates 18 - Global Incorporated (:CPRY),Diversified REITs,100.0,13.875291407229,218.493,2947.48092,Yes,19.08,,United States and Canada,W. P. Carey Inc. (Public Company),,real estate
Diversified Healthcare Trust,SPTRD2020012,2023-04-11 00:00:00,M&A - Whole,Terminated/Withdrawn,2851.605448,Office Properties Income Trust (OTCEM:OPIT.Q),Diversified Healthcare Trust (NASDAQGS:DHC),Health Care REITs,100.0,2.16216957182058,,2851.605448,Yes,20.78,Diversified Healthcare Trust (Public Company),United States and Canada,Office Properties Income Trust (Public Company),Diversified Healthcare Trust (Public Company),real estate
Dream Global Real Estate Investment Trust,SPTRD1616713,2019-09-15 00:00:00,M&A - Whole,Completed,4087.02182370708,Blackstone Inc. (NYSE:BX),Dream Global Real Estate Investment Trust (:DRG.UN),Diversified REITs,100.0,11.7621886922976,669.531134146441,4087.02182370708,Yes,5.88,,United States and Canada,Blackstone Inc. (Public Company),,real estate
Duke Realty Corporation,SPTRD1959033,2022-05-10 00:00:00,M&A - Whole,Completed,22746.195226,"Prologis, Inc. (NYSE:PLD)",Duke Realty Corporation (:DRE),Industrial REITs,100.0,22.9477134029942,1420.227,22746.195226,Yes,16.98,,United States and Canada,"Prologis, Inc. (Public Company)",,real estate
"DuPont Fabros Technology, Inc.",SPTRD225139,2017-06-09 00:00:00,M&A - Whole,Completed,7683.635771,"Digital Realty Trust, Inc. (NYSE:DLR)","DuPont Fabros Technology, Inc. (NYSE:DFT)",Data Center REITs,100.0,13.7675246497342,331.282,7683.635771,Yes,20.78,"DuPont Fabros Technology, Inc. (Public Company)",United States and Canada,"Digital Realty Trust, Inc. (Public Company)","DuPont Fabros Technology, Inc. (Public Company)",real estate
"Excel Trust, Inc.",SPTRD201301,2015-04-10 00:00:00,M&A - Whole,Completed,2042.355045,Blackstone Inc. (NYSE:BX),"Excel Trust, Inc. (NYSE:EXL)",Retail REITs,100.0,14.4654412506483,119.888,2042.355045,Yes,18.5,,United States and Canada,Blackstone Inc. (Public Company),,real estate
FelCor Lodging Trust Incorporated,SPTRD222318,2017-04-24 00:00:00,M&A - Whole,Completed,2695.834137,RLJ Lodging Trust (NYSE:RLJ),FelCor Lodging Trust Incorporated (:FCH),Hotel and Resort REITs,100.0,3.39259804647767,150.998,2695.834137,Yes,17.11,,United States and Canada,RLJ Lodging Trust (Public Company),,real estate
First Capital Real Estate Investment Trust,SPTRD2206230,2026-04-16 00:00:00,M&A - Whole,Announced,6745.27555404934,KingSett Capital Inc.; Choice Properties Real Estate Investment Trust (TSX:CHP.UN); KingSett Real Estate Growth LP No. 8,First Capital Real Estate Investment Trust (TSX:FCR.UN),Retail REITs,100.0,12.9774388253549,328.423966535386,6745.27555404934,Yes,20.2,First Capital Real Estate Investment Trust (Public Company),United States and Canada,Choice Properties Real Estate Investment Trust (Public Company),First Capital Real Estate Investment Trust (Public Company),real estate
First Potomac Realty Trust,SPTRD319231,2017-06-28 00:00:00,M&A - Whole,Completed,1314.837772,Office Properties Income Trust (OTCEM:OPIT.Q),First Potomac Realty Trust (NYSE:FPO),Office REITs,100.0,8.340249148295,128.545,1314.837772,Yes,10.02,,United States and Canada,Office Properties Income Trust (Public Company),,real estate
"First Real Estate Investment Trust of New Jersey, Inc.",SPTRD2033267,2023-06-27 00:00:00,M&A - Whole,Announced,261.199826,Kushner Companies LLC,"First Real Estate Investment Trust of New Jersey, Inc. (OTCPK:FREV.S)",Diversified REITs,100.0,9.36132986882661,11.203,261.199826,Yes,23.32,"First Real Estate Investment Trust of New Jersey, Inc. (Public Company)",United States and Canada,,"First Real Estate Investment Trust of New Jersey, Inc. (Public Company)",real estate
"Forest City Realty Trust, Inc.",SPTRD1467015,2018-07-31 00:00:00,M&A - Whole,Completed,10216.407669,Brookfield Corporation (TSX:BN),"Forest City Realty Trust, Inc. (NYSE:FCE A)",Diversified REITs,100.0,11.3292941857111,1190.144,10216.407669,Yes,14.19,,United States and Canada,Brookfield Corporation (Public Company),,real estate
Forestar Group Inc,SPTRD222312,2017-04-13 00:00:00,M&A - Whole,Terminated/Withdrawn,435.76661,"Starwood Capital Group Management, L.L.C.",Forestar Group Inc. (NYSE:FOR),Real Estate Development,100.0,2.39430887742375,,435.76661,Yes,2.9,Forestar Group Inc. (Public Company),United States and Canada,,Forestar Group Inc. (Public Company),real estate
Generation Healthcare REIT,SPTRD223038,2017-04-24 00:00:00,M&A - Whole,Completed,510.586288824967,Vital Infrastructure Property Trust (TSX:VITL.UN),Generation Healthcare REIT (:GHC),Health Care REITs,77.27,,91.3748089451267,510.586288824967,Yes,6.97,,Asia-Pacific,Vital Infrastructure Property Trust (Public Company),,real estate
Gramercy Property Trust,SPTRD1434163,2018-05-07 00:00:00,M&A - Whole,Completed,7690.210007,Blackstone Inc. (NYSE:BX),Gramercy Property Trust (:GPT),Diversified REITs,100.0,13.2343688904677,502.899,7690.210007,Yes,15.93,,United States and Canada,Blackstone Inc. (Public Company),,real estate
Grivalia Properties REIC,SPTRD1509910,2018-11-26 00:00:00,M&A - Whole,Completed,1390.06606881998,Eurobank S.A. (ATSE:EUROB),Fairfax Financial Holdings Limited (TSX:FFH),Diversified REITs,100.0,11.1883557325584,77.4146035323248,1390.06606881998,Yes,10.53,Grivalia Properties REIC (Public Company),Europe,Eurobank S.A. (Public Company),Fairfax Financial Holdings Limited (Public Company),real estate
Hansteen Holdings Plc,SPTRD1670867,2019-12-18 00:00:00,M&A - Whole,Completed,918.841994334821,Blackstone Inc. (NYSE:BX),Hansteen Holdings Plc (:HSTN),Industrial REITs,100.0,14.2910558181818,78.1668653237685,918.841994334821,Yes,11.71,,Europe,Blackstone Inc. (Public Company),,real estate
HealthLease Properties Real Estate Investment Trust,SPTRD196271,2014-08-13 00:00:00,M&A - Whole,Completed,1036.60500293645,Welltower Inc. (NYSE:WELL),HealthLease Properties Real Estate Investment Trust (:HLP.UN),Health Care REITs,100.0,18.8298687884907,45.5909176605355,1036.60500293645,Yes,23.85,,United States and Canada,Welltower Inc. (Public Company),,real estate
Hembla AB (publ),SPTRD1675705,2019-09-23 00:00:00,M&A - Whole,Completed,1336.00291649268,HomeStar InvestCo AB,Blackstone Inc. (NYSE:BX),Diversified Real Estate Activities,61.19,12.993999439896,293.459214446079,1336.00291649268,Yes,5.58,,Europe,,Blackstone Inc. (Public Company),real estate
"HFF, Inc.",SPTRD1554359,2019-03-19 00:00:00,M&A - Whole,Completed,2687.334814,Jones Lang LaSalle Incorporated (NYSE:JLL),"HFF, Inc. (:HF)",Real Estate Services,100.0,3.30791919164891,195.5,2687.334814,Yes,11.64,,United States and Canada,Jones Lang LaSalle Incorporated (Public Company),,real estate
Hilton Worldwide Holdings Inc.,SPTRD217143,2016-10-24 00:00:00,M&A - Minority,Completed,6496.875,"HNA Group co., LTD",Blackstone Inc. (NYSE:BX),Hotel and Resort REITs,25.0,4.93049576447716,2523.0,6496.875,No,10.01,Hilton Worldwide Holdings Inc. (Public Company),United States and Canada,,Blackstone Inc. (Public Company),real estate
