Target/Issuer Name,MI Transaction ID,"Announced Date
MM/dd/yyyy",Transaction Type,Transaction Status,"Total Transaction Value
(₹M)",Buyers/Investors Name,Sellers Name,"Debt Percent of Total Value
(%)","Target Debt Value
(₹000)","Buyer: CIQ Net Debt
(₹000)","Target: CIQ Net Debt
(₹000)","Buyer: Total Revenue
(₹000)","Buyer: EBITDA
(₹000)","Target: CIQ Total Revenue
(₹000)","Target: EBITDA
(₹000)","Buyer: CIQ Cash and Short Term Investments
(₹000)","Target: CIQ Cash and Short Term Investments
(₹000)","Implied Enterprise Value/ EBITDA
(x)","Implied Enterprise Value/ Total Revenue
(x)","Recurring EBITDA Margin
(%)","Return on Capital
(%)",Transaction Industry (CIQ/GICS),"Company Type
(Target/Issuer)","Company Type
(Buyer/Investor)","Total Enterprise Value (CIQ) (₹M)
(Target/Issuer) (> 1,000) [Current]","Total Enterprise Value (CIQ) (₹M)
(Buyer/Investor) (> 1,000) [Current]","Total Enterprise Value (CIQ) (₹M)
(Seller) (> 1,000) [Current]","Percent of Equity Ownership Acquired
(%)",Transaction Geography,"Company Type
(Seller)","Total Enterprise Value (CIQ) (₹M)
(Target/Issuer) (< 50,000) [Current]","Total Enterprise Value (CIQ) (₹M)
(Buyer/Investor) (< 50,000) [Current]","Total Enterprise Value (CIQ) (₹M)
(Seller) (< 50,000) [Current]"
Sumati Spintex Private Limited,SPTRD2163994,2025-08-12,M&A - Whole,Completed,6.05,RRIL Limited (BSE:531307),Sumati Spintex Private Limited,,,285735,,,,,,4467,,0.130937944772262,0.030116291865383,,,Textiles,,RRIL Limited (Public Company),,"RRIL Limited (2,230.1)",,50,Asia-Pacific,,,"RRIL Limited (2,230.1)",
Sayaji Hotels (Indore) Limited,SPTRD2138888,2025-03-28,M&A - Minority,Completed,472.81375,Century 21 Officespace Private Limited,Sayaji Hotels (Indore) Limited (BSE:544080),,,,,,,,,,,21.180402984399,4.37904017930487,,,"Hotels, Resorts and Cruise Lines",Sayaji Hotels (Indore) Limited (Public Company),,"Sayaji Hotels (Indore) Limited (3,613.8)",,"Sayaji Hotels (Indore) Limited (3,613.8)",26.000023,Asia-Pacific,Sayaji Hotels (Indore) Limited (Public Company),"Sayaji Hotels (Indore) Limited (3,613.8)",,"Sayaji Hotels (Indore) Limited (3,613.8)"
A B Cotspin India Limited,SPTRD2102990,2024-09-11,M&A - Minority,Terminated/Withdrawn,631.529392,,A B Cotspin India Limited (NSEI:ABCOTS),,,,,,,,,,,13.7903164425278,1.42529043205593,,,Textiles,A B Cotspin India Limited (Public Company),,"A B Cotspin India Limited (10,154.9)",,"A B Cotspin India Limited (10,154.9)",26,Asia-Pacific,A B Cotspin India Limited (Public Company),"A B Cotspin India Limited (10,154.9)",,"A B Cotspin India Limited (10,154.9)"
Narbada Gems and Jewellery Limited,SPTRD2100950,2024-08-31,M&A - Whole,Completed,1224.095205,Uday Jewellery Industries Limited (BSE:539518),Narbada Gems and Jewellery Limited (:519455),,,232943,,,,,,13311,,21.3847095078727,2.25831037905805,,,"Apparel, Accessories and Luxury Goods",,Uday Jewellery Industries Limited (Public Company),"Narbada Gems and Jewellery Limited (1,500.4)","Uday Jewellery Industries Limited (5,460.5)","Narbada Gems and Jewellery Limited (1,500.4)",100,Asia-Pacific,,"Narbada Gems and Jewellery Limited (1,500.4)","Uday Jewellery Industries Limited (5,460.5)","Narbada Gems and Jewellery Limited (1,500.4)"
Johnson Controls-Hitachi Air Conditioning India Limited,SPTRD2093890,2024-07-26,M&A - Minority,Completed,3818.768515,Robert Bosch GmbH,Bosch Home Comfort India Limited (BSE:523398),,,,-953300,,,27564600,,,1373700,33.2331400396208,1.70405955943493,,,Household Appliances,Bosch Home Comfort India Limited (Public Company),,"Bosch Home Comfort India Limited (38,634.0)",,"Bosch Home Comfort India Limited (38,634.0)",25.745228,Asia-Pacific,Bosch Home Comfort India Limited (Public Company),"Bosch Home Comfort India Limited (38,634.0)",,"Bosch Home Comfort India Limited (38,634.0)"
TCNS Clothing Co. Limited,SPTRD2085536,2024-04-30,M&A - Minority,Completed,17443.56122,Aditya Birla Fashion and Retail Limited (NSEI:ABFRL),TCNS Clothing Co. Limited (:TCNSBRANDS),,,81163700,5242030,,,12015890,,13350300,226070,29.3235561759036,3.03829574330324,,,"Apparel, Accessories and Luxury Goods",,Aditya Birla Fashion and Retail Limited (Public Company),"TCNS Clothing Co. Limited (43,022.7)","Aditya Birla Fashion and Retail Limited (117,910.3)","TCNS Clothing Co. Limited (43,022.7)",47.990284,Asia-Pacific,,"TCNS Clothing Co. Limited (43,022.7)",,"TCNS Clothing Co. Limited (43,022.7)"
Rane Brake Lining Limited,SPTRD2078999,2024-02-09,M&A - Minority,Announced,2930.075034,Rane (Madras) Limited (NSEI:RML),Nisshinbo Holdings Inc. (TSE:3105),,,,-296900,,,5988000,,,298800,9.80410050898204,0.929654019539078,,,Automotive Parts and Equipment,,Rane (Madras) Limited (Public Company),"Rane Brake Lining Limited (5,774.9)","Rane (Madras) Limited (28,981.7)","Nisshinbo Holdings Inc. (276,864.2)",49.97,Asia-Pacific,Nisshinbo Holdings Inc. (Public Company),"Rane Brake Lining Limited (5,774.9)","Rane (Madras) Limited (28,981.7)",
Rane Engine Valve Limited,SPTRD2079020,2024-02-09,M&A - Minority,Completed,869.179957,Rane (Madras) Limited (NSEI:RML),Rane Engine Valve Limited (:532988),,,,1197300,,,5667500,,,24500,10.2717369061708,0.732648557589887,,,Automotive Parts and Equipment,,Rane (Madras) Limited (Public Company),"Rane Engine Valve Limited (3,589.2)","Rane (Madras) Limited (28,981.7)","Rane Engine Valve Limited (3,589.2)",41.684273,Asia-Pacific,,"Rane Engine Valve Limited (3,589.2)","Rane (Madras) Limited (28,981.7)","Rane Engine Valve Limited (3,589.2)"
Young Brand Apparel Private Limited,SPTRD2065615,2024-02-05,M&A - Whole,Completed,1523.01,S.P. Apparels Limited (NSEI:SPAL),Bannari Amman Spinning Mills Ltd (NSEI:BASML),,,743420,,,,3015645,,1290760,,2.39564494482319,0.467728726960542,,,"Apparel, Accessories and Luxury Goods",,S.P. Apparels Limited (Public Company),,"S.P. Apparels Limited (22,780.3)","Bannari Amman Spinning Mills Ltd (6,317.5)",100,Asia-Pacific,Bannari Amman Spinning Mills Ltd (Public Company),,"S.P. Apparels Limited (22,780.3)","Bannari Amman Spinning Mills Ltd (6,317.5)"
Bikewo Green Tech Private Limited,SPTRD1996620,2023-11-11,M&A - Whole,Completed,112.64565,,MIC Electronics Limited (NSEI:MICEL),,,,75715,,,206186,,,384,21.4605593220339,0.718488360024444,,,Automotive Retail,Bikewo Green Tech Limited (Public Company),,,,"MIC Electronics Limited (10,382.5)",50.99,Asia-Pacific,MIC Electronics Limited (Public Company),Bikewo Green Tech Limited (256.2),,"MIC Electronics Limited (10,382.5)"
