Target/Issuer Name,MI Transaction ID,"Announced Date
MM/dd/yyyy",Transaction Type,Transaction Status,"Total Transaction Value
(₹M)",Buyers/Investors Name,Sellers Name,"Debt Percent of Total Value
(%)","Target Debt Value
(₹000)","Buyer: CIQ Net Debt
(₹000)","Target: CIQ Net Debt
(₹000)","Buyer: Total Revenue
(₹000)","Buyer: EBITDA
(₹000)","Target: CIQ Total Revenue
(₹000)","Target: EBITDA
(₹000)","Buyer: CIQ Cash and Short Term Investments
(₹000)","Target: CIQ Cash and Short Term Investments
(₹000)","Implied Enterprise Value/ EBITDA
(x)","Implied Enterprise Value/ Total Revenue
(x)","Recurring EBITDA Margin
(%)","Return on Capital
(%)",Transaction Industry (CIQ/GICS),"Company Type
(Target/Issuer)","Company Type
(Buyer/Investor)","Total Enterprise Value (CIQ) (₹M)
(Target/Issuer) (> 1,000) [Current]","Total Enterprise Value (CIQ) (₹M)
(Buyer/Investor) (> 1,000) [Current]","Total Enterprise Value (CIQ) (₹M)
(Seller) (> 1,000) [Current]","Percent of Equity Ownership Acquired
(%)",Transaction Geography,"Company Type
(Seller)","Total Enterprise Value (CIQ) (₹M)
(Target/Issuer) (< 50,000) [Current]","Total Enterprise Value (CIQ) (₹M)
(Buyer/Investor) (< 50,000) [Current]","Total Enterprise Value (CIQ) (₹M)
(Seller) (< 50,000) [Current]"
Stylam Industries Limited,SPTRD2186765,2025-12-26,M&A - Minority,Completed,10342.728,"Aica Kogyo Company, Limited (TSE:4206)",Stylam Industries Limited (BSE:526951),,,-21848992.337667,-139023,,,10250894,,34718042.221654,499734,20.4333242459069,3.70641929728275,,,Building Products,Stylam Industries Limited (Public Company),"Aica Kogyo Company, Limited (Public Company)","Stylam Industries Limited (37,844.6)","Aica Kogyo Company, Limited (130,718.0)","Stylam Industries Limited (37,844.6)",27.12268,Asia-Pacific,Stylam Industries Limited (Public Company),"Stylam Industries Limited (37,844.6)",,"Stylam Industries Limited (37,844.6)"
Stylam Industries Limited,SPTRD2186050,2025-12-26,M&A - Minority,Announced,9914.616,"Aica Kogyo Company, Limited (TSE:4206)",Stylam Industries Limited (BSE:526951),,,-21848992.337667,-139023,,,10250894,,34718042.221654,499734,20.4333248869674,3.70641941356529,,,Building Products,Stylam Industries Limited (Public Company),"Aica Kogyo Company, Limited (Public Company)","Stylam Industries Limited (37,844.6)","Aica Kogyo Company, Limited (130,718.0)","Stylam Industries Limited (37,844.6)",26.000002,Asia-Pacific,Stylam Industries Limited (Public Company),"Stylam Industries Limited (37,844.6)",,"Stylam Industries Limited (37,844.6)"
Morganite Crucible (India) Limited,SPTRD2169597,2025-08-22,M&A - Minority,Completed,154.283979,Foseco India Limited (BSE:500150),Foseco Crucible (India) Limited (BSE:523160); Morgan Terrassen BV; Morganite Crucible Limited,,,,-201573,,,1765055,,,211940,19.6860913072114,4.82617652141151,,,Industrial Machinery and Supplies and Components,Foseco Crucible (India) Limited (Public Company),Foseco India Limited (Public Company),"Foseco Crucible (India) Limited (8,248.9)","Foseco India Limited (32,641.9)","Foseco Crucible (India) Limited (8,248.9)",25,Asia-Pacific,Foseco Crucible (India) Limited (Public Company),"Foseco Crucible (India) Limited (8,248.9)","Foseco India Limited (32,641.9)","Foseco Crucible (India) Limited (8,248.9)"
Morganite Crucible (India) Limited,SPTRD2165595,2025-08-22,M&A - Whole,Completed,6022.47126,Foseco India Limited (BSE:500150),Morgan Terrassen BV; Morganite Crucible Limited,,,,-201573,,,1765055,,,211940,19.4725196029719,4.77381799434012,,,Industrial Machinery and Supplies and Components,Foseco Crucible (India) Limited (Public Company),Foseco India Limited (Public Company),"Foseco Crucible (India) Limited (8,248.9)","Foseco India Limited (32,641.9)",,75,Asia-Pacific,,"Foseco Crucible (India) Limited (8,248.9)","Foseco India Limited (32,641.9)",
PSP Projects Limited,SPTRD2115467,2024-11-19,M&A - Minority,Completed,,Adani Infra (India) Limited,PSP Projects Limited (NSEI:PSPPROJECT),,,,637153,,,25121257,,,2078148,9.6296409855508,1.00060722120003,,,Construction and Engineering,PSP Projects Limited (Public Company),,"PSP Projects Limited (30,750.7)",,"PSP Projects Limited (30,750.7)",30.07,Asia-Pacific,PSP Projects Limited (Public Company),"PSP Projects Limited (30,750.7)",,"PSP Projects Limited (30,750.7)"
PSP Projects Limited,SPTRD2115468,2024-11-19,M&A - Minority,Completed,2880.405078,Adani Infra (India) Limited,PSP Projects Limited (NSEI:PSPPROJECT),,,,637153,,,25121257,,,2078148,10.6513103794462,1.1067679570722,,,Construction and Engineering,PSP Projects Limited (Public Company),,"PSP Projects Limited (30,750.7)",,"PSP Projects Limited (30,750.7)",26.000001,Asia-Pacific,PSP Projects Limited (Public Company),"PSP Projects Limited (30,750.7)",,"PSP Projects Limited (30,750.7)"
Bharat Battery Mfg. Co. Private Limited,SPTRD2100275,2024-08-28,M&A - Whole,Completed,450.00005,Dynamic Services & Security Limited (NSEI:DYNAMIC),Bharat Battery Mfg. Co. Private Limited,,,333853,,,,,,9507,,6.50409888517382,2.27752037751615,,,Electrical Components and Equipment,,Dynamic Services & Security Limited (Public Company),,"Dynamic Services & Security Limited (5,101.7)",,100,Asia-Pacific,,,"Dynamic Services & Security Limited (5,101.7)",
M. R. Organisation Limited,SPTRD2093990,2024-07-27,M&A - Whole,Announced,1114.271629,Aeroflex Enterprises Limited (BSE:511076),M. R. Organisation Limited (:MRO),,,-2731073,-40819.892,,,755730.725,,3361699,94089.515,10.191179403660101,1.64419605276734,,,Industrial Machinery and Supplies and Components,,Aeroflex Enterprises Limited (Public Company),,"Aeroflex Enterprises Limited (10,231.7)",,90,Asia-Pacific,,,"Aeroflex Enterprises Limited (10,231.7)",
Navkar Corporation Limited,SPTRD2088911,2024-06-27,M&A - Whole,Completed,12269.317127,JSW Port Logistics Private Limited,Sidhhartha Corporation Pvt. Ltd.,,,,2142337,,,4407241,,,54344,24.4862753378929,3.75143449518644,,,Marine Ports and Services,Navkar Corporation Limited (Public Company),,"Navkar Corporation Limited (17,954.6)",,,70.369553,Asia-Pacific,,"Navkar Corporation Limited (17,954.6)",,
Windsor Machines Limited,SPTRD2087418,2024-06-19,M&A - Whole,Completed,3941.085,Plutus Investments and Holding Private Limited,Castle Equipments Pvt Ltd,,,-25045.6692338354,331439,,,3539705,,27621.7922056161,26843,31.3100361988703,1.95899517812925,,,Industrial Machinery and Supplies and Components,Windsor Machines Limited (Public Company),,"Windsor Machines Limited (26,797.0)",,,53.90271,Asia-Pacific,,"Windsor Machines Limited (26,797.0)",,
