Target/Issuer Name,MI Transaction ID,"Announced Date
MM/dd/yyyy",Transaction Type,Transaction Status,"Total Transaction Value
(₹M)",Buyers/Investors Name,Sellers Name,"Debt Percent of Total Value
(%)","Target Debt Value
(₹000)","Buyer: CIQ Net Debt
(₹000)","Target: CIQ Net Debt
(₹000)","Buyer: Total Revenue
(₹000)","Buyer: EBITDA
(₹000)","Target: CIQ Total Revenue
(₹000)","Target: EBITDA
(₹000)","Buyer: CIQ Cash and Short Term Investments
(₹000)","Target: CIQ Cash and Short Term Investments
(₹000)","Implied Enterprise Value/ EBITDA
(x)","Implied Enterprise Value/ Total Revenue
(x)","Recurring EBITDA Margin
(%)","Return on Capital
(%)",Transaction Industry (CIQ/GICS),"Company Type
(Target/Issuer)","Company Type
(Buyer/Investor)","Total Enterprise Value (CIQ) (₹M)
(Target/Issuer) (> 1,000) [Current]","Total Enterprise Value (CIQ) (₹M)
(Buyer/Investor) (> 1,000) [Current]","Total Enterprise Value (CIQ) (₹M)
(Seller) (> 1,000) [Current]","Percent of Equity Ownership Acquired
(%)",Transaction Geography,"Company Type
(Seller)","Total Enterprise Value (CIQ) (₹M)
(Target/Issuer) (< 50,000) [Current]","Total Enterprise Value (CIQ) (₹M)
(Buyer/Investor) (< 50,000) [Current]","Total Enterprise Value (CIQ) (₹M)
(Seller) (< 50,000) [Current]"
AAA Technologies Limited,SPTRD2186228,2025-12-29,M&A - Minority,Announced,336.831768,Jyotirgamya Advisory Private Limited,AAA Technologies Limited (NSEI:AAATECH),,,,-228239,,,254555,,,228239,29.664456056479,4.19268056019328,,,IT Consulting and Other Services,AAA Technologies Limited (Public Company),,"AAA Technologies Limited (1,039.3)",,"AAA Technologies Limited (1,039.3)",26,Asia-Pacific,AAA Technologies Limited (Public Company),"AAA Technologies Limited (1,039.3)",,"AAA Technologies Limited (1,039.3)"
AAA Technologies Limited,SPTRD2186230,2025-12-29,M&A - Minority,Announced,326.6046,Jyotirgamya Advisory Private Limited,AAA Technologies Limited (NSEI:AAATECH),,,,-228239,,,254555,,,228239,20.0607397020401,2.83532161222526,,,IT Consulting and Other Services,AAA Technologies Limited (Public Company),,"AAA Technologies Limited (1,039.3)",,"AAA Technologies Limited (1,039.3)",34.38,Asia-Pacific,AAA Technologies Limited (Public Company),"AAA Technologies Limited (1,039.3)",,"AAA Technologies Limited (1,039.3)"
ADC India Communications Limited,SPTRD2183618,2025-08-07,M&A - Minority,Announced,1411.18432,Amphenol Corporation (NYSE:APH),ADC India Communications Limited (BSE:523411),,,414759540,-476439,,,1871017,,276712196,476439,16.9597414519521,2.64625762352774,,,Communications Equipment,ADC India Communications Limited (Public Company),Amphenol Corporation (Public Company),"ADC India Communications Limited (6,798.9)","Amphenol Corporation (17,916,261.7)","ADC India Communications Limited (6,798.9)",26,Asia-Pacific,ADC India Communications Limited (Public Company),"ADC India Communications Limited (6,798.9)",,"ADC India Communications Limited (6,798.9)"
Onix-Tech Renewable Private Limited,SPTRD2151660,2025-06-05,M&A - Whole,Announced,5315.346347,Onix Solar Energy Limited (BSE:513119),Onix-tech Renewable Private Limited; Onix Renewable Ltd.,,,-16424,,,,1693237.84,,16424,,35.18004370079,3.13947281676625,,,Semiconductors,,Onix Solar Energy Limited (Public Company),,"Onix Solar Energy Limited (24,139.7)",,99.99,Asia-Pacific,,,"Onix Solar Energy Limited (24,139.7)",
Cigniti Technologies Limited,SPTRD2123884,2024-12-27,M&A - Minority,Announced,23860.717379,Coforge Limited (NSEI:COFORGE),Cigniti Technologies Limited (BSE:534758),,,-7092000,-3935584,,,18913221,,17729000,4201619,23.000877422833,2.54680207517271,,,IT Consulting and Other Services,Cigniti Technologies Limited (Public Company),Coforge Limited (Public Company),"Cigniti Technologies Limited (33,012.0)","Coforge Limited (458,468.7)","Cigniti Technologies Limited (33,012.0)",45.51168,Asia-Pacific,Cigniti Technologies Limited (Public Company),"Cigniti Technologies Limited (33,012.0)",,"Cigniti Technologies Limited (33,012.0)"
Jet Inks Private Limited,SPTRD2084510,2024-05-03,M&A - Whole,Completed,187.641885,Aztec Fluids & Machinery Limited (BSE:544177),Barrla Fets Private Limited,,,56416,,,,249434.82,,12717,,4.0501137567524,0.875891188728182,,,"Technology Hardware, Storage and Peripherals",,Aztec Fluids & Machinery Limited (Public Company),,"Aztec Fluids & Machinery Limited (1,537.5)",,81.95,Asia-Pacific,,,"Aztec Fluids & Machinery Limited (1,537.5)",
Cigniti Technologies Limited,SPTRD2079689,2024-05-02,M&A - Minority,Completed,8574.411058,Coforge Limited (NSEI:COFORGE),Cigniti Technologies Limited (BSE:534758),,,-7092000,-3935584,,,18913221,,17729000,4201619,16.3516999786552,1.81056325255228,,,IT Consulting and Other Services,Cigniti Technologies Limited (Public Company),Coforge Limited (Public Company),"Cigniti Technologies Limited (33,012.0)","Coforge Limited (458,468.7)","Cigniti Technologies Limited (33,012.0)",32.766548,Asia-Pacific,Cigniti Technologies Limited (Public Company),"Cigniti Technologies Limited (33,012.0)",,"Cigniti Technologies Limited (33,012.0)"
Cigniti Technologies Limited,SPTRD2079746,2024-05-02,M&A - Minority,Completed,1812.953185,Coforge Limited (NSEI:COFORGE),Cigniti Technologies Limited (BSE:534758),,,-7092000,-3935584,,,18913221,,17729000,4201619,15.8399323398358,1.93529653363973,,,IT Consulting and Other Services,Cigniti Technologies Limited (Public Company),Coforge Limited (Public Company),"Cigniti Technologies Limited (33,012.0)","Coforge Limited (458,468.7)","Cigniti Technologies Limited (33,012.0)",26.235121,Asia-Pacific,Cigniti Technologies Limited (Public Company),"Cigniti Technologies Limited (33,012.0)",,"Cigniti Technologies Limited (33,012.0)"
Dextara Digital Private Limited,SPTRD2074826,2024-04-01,M&A - Whole,Completed,1743.443398,Datamatics Global Services Limited (NSEI:DATAMATICS),Dextara Digital Private Limited,,,,,,,284268,,,,13.0816419100343,6.36928931109781,,,IT Consulting and Other Services,,Datamatics Global Services Limited (Public Company),,"Datamatics Global Services Limited (40,214.7)",,100,Asia-Pacific,,,"Datamatics Global Services Limited (40,214.7)",
ITCube Solutions Pvt. Ltd.,SPTRD2068897,2024-02-22,M&A - Whole,Completed,840.004632,One Point One Solutions Limited (NSEI:ONEPOINT),ITCube Solutions Pvt. Ltd.,,,401596,,,,535750,,179036,,6.91213337557291,1.56794149696687,,,Application Software,,One Point One Solutions Limited (Public Company),,"One Point One Solutions Limited (14,754.5)",,100,Asia-Pacific,,,"One Point One Solutions Limited (14,754.5)",
